#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AF1A0B
#Date Time: 2023-01-29 15:51:07.630
#Sample rate: 400Hz
#Samples: 8192
#Trigger: Source: Manual Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 1.41 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: -615 mV Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 100 mHz
#Period: 10 s
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
1.3575,0.4605677493997629,2.244827900150566
1.36,0.4609046592083552,2.249889558808749
1.3625,0.4609046592083552,2.254951217466931
1.365,0.4612415690169476,2.259675432214568
1.3675,0.4612415690169476,2.26473709087275
1.37,0.4612415690169476,2.269461305620387
1.3725,0.4612415690169476,2.274185520368023
1.375,0.4615784788255399,2.27890973511566
1.3775,0.4615784788255399,2.283971393773843
1.38,0.4615784788255399,2.28869560852148
1.3825,0.4619153886341327,2.294094711090207
1.385,0.4619153886341327,2.298818925837844
1.3875,0.4619153886341327,2.303880584496026
1.39,0.4622522984427251,2.308604799243663
1.3925,0.4622522984427251,2.313666457901845
1.395,0.4622522984427251,2.318390672649482
1.3975,0.4625892082513174,2.323452331307664
1.4,0.4625892082513174,2.327839102144756
1.4025,0.4625892082513174,2.332900760802938
1.405,0.4629261180599098,2.337624975550575
1.4075,0.4629261180599098,2.342686634208757
1.41,0.4629261180599098,2.348085736777485
1.4125,0.4629261180599098,2.352809951525122
1.415,0.4632630278685026,2.357534166272758
1.4175,0.4632630278685026,2.362258381020395
1.42,0.4632630278685026,2.367320039678578
1.4225,0.4632630278685026,2.372044254426214
1.425,0.463599937677095,2.377105913084396
1.4275,0.463599937677095,2.381492683921488
1.43,0.463599937677095,2.38655434257967
1.4325,0.4639368474856873,2.392290889058943
1.435,0.4639368474856873,2.396677659896035
1.4375,0.4639368474856873,2.401739318554217
1.44,0.4642737572942797,2.406463533301854
1.4425,0.4642737572942797,2.411525191960036
1.445,0.4642737572942797,2.416249406707673
1.4475,0.4642737572942797,2.421311065365855
1.45,0.4642737572942797,2.426035280113492
1.4525,0.4646106671028725,2.431096938771674
1.455,0.4646106671028725,2.435821153519311
1.4575,0.4646106671028725,2.440882812177493
1.46,0.4649475769114648,2.445944470835675
1.4625,0.4649475769114648,2.450668685583312
1.465,0.4649475769114648,2.455730344241494
1.4675,0.4652844867200572,2.460454558989131
1.47,0.4652844867200572,2.465516217647314
1.4725,0.4652844867200572,2.470240432394951
1.475,0.4656213965286495,2.474964647142587
1.4775,0.4656213965286495,2.480026305800769
1.48,0.4656213965286495,2.485087964458952
1.4825,0.4659583063372423,2.489812179206588
1.485,0.4659583063372423,2.494873837864771
1.4875,0.4659583063372423,2.499935496522953
1.49,0.4662952161458347,2.50465971127059
1.4925,0.4662952161458347,2.509383926018227
1.495,0.4662952161458347,2.514445584676409
1.4975,0.4662952161458347,2.519169799424046
1.5,0.466632125954427,2.524231458082228
1.5025,0.466632125954427,2.528955672829865
1.505,0.466632125954427,2.533679887577502
1.5075,0.4669690357630194,2.539078990146229
1.51,0.4669690357630194,2.543803204893866
1.5125,0.4669690357630194,2.548864863552049
1.515,0.4669690357630194,2.553589078299685
1.5175,0.4673059455716122,2.558313293047322
1.52,0.4673059455716122,2.563037507794959
1.5225,0.4673059455716122,2.568436610363686
1.525,0.4676428553802046,2.572823381200778
1.5275,0.4676428553802046,2.57788503985896
1.53,0.4676428553802046,2.582609254606597
1.5325,0.4679797651887969,2.587670913264779
1.535,0.4679797651887969,2.593070015833507
1.5375,0.4679797651887969,2.597794230581144
1.54,0.4679797651887969,2.602855889239326
1.5425,0.4683166749973897,2.607242660076417
1.545,0.4683166749973897,2.612641762645145
1.5475,0.4683166749973897,2.617028533482237
1.55,0.4683166749973897,2.622090192140419
1.5525,0.4686535848059821,2.626814406888055
1.555,0.4686535848059821,2.631876065546238
1.5575,0.4689904946145744,2.637275168114965
1.56,0.4689904946145744,2.641661938952057
1.5625,0.4689904946145744,2.646723597610239
1.565,0.4689904946145744,2.651785256268421
1.5675,0.4693274044231668,2.656509471016058
1.57,0.4693274044231668,2.661233685763695
1.5725,0.4693274044231668,2.666295344421877
1.575,0.4693274044231668,2.671019559169514
1.5775,0.4696643142317596,2.676081217827696
1.58,0.4696643142317596,2.680805432575333
1.5825,0.4696643142317596,2.686204535144061
1.585,0.4696643142317596,2.690928749891698
1.5875,0.4700012240403519,2.695652964639334
1.59,0.4700012240403519,2.700714623297517
1.5925,0.4700012240403519,2.705776281955699
1.595,0.4703381338489443,2.710500496703335
1.5975,0.4703381338489443,2.715224711450972
1.6,0.4703381338489443,2.720286370109155
1.6025,0.4703381338489443,2.725010584856792
1.605,0.4706750436575367,2.730409687425519
1.6075,0.4706750436575367,2.735133902173156
1.61,0.4706750436575367,2.740195560831338
1.6125,0.4710119534661295,2.744919775578975
1.615,0.4710119534661295,2.749643990326612
1.6175,0.4710119534661295,2.754368205074249
1.62,0.4710119534661295,2.759429863732431
1.6225,0.4710119534661295,2.764491522390613
1.625,0.4713488632747218,2.76921573713825
1.6275,0.4713488632747218,2.773939951885887
1.63,0.4713488632747218,2.779339054454615
1.6325,0.4716857730833142,2.784400713112797
1.635,0.4716857730833142,2.789124927860434
1.6375,0.4720226828919065,2.794524030429161
1.64,0.4720226828919065,2.798910801266253
1.6425,0.4720226828919065,2.803972459924435
1.645,0.4720226828919065,2.808696674672072
1.6475,0.4720226828919065,2.813758333330254
1.65,0.4723595927004993,2.818145104167345
1.6525,0.4723595927004993,2.823544206736073
1.655,0.4723595927004993,2.82826842148371
1.6575,0.4723595927004993,2.833330080141892
1.66,0.4726965025090917,2.838391738800075
1.6625,0.4726965025090917,2.843115953547712
1.665,0.4726965025090917,2.848177612205894
1.6675,0.473033412317684,2.85290182695353
1.67,0.473033412317684,2.857963485611712
1.6725,0.473033412317684,2.862687700359349
1.675,0.4733703221262764,2.867074471196441
1.6775,0.4733703221262764,2.868761690749168
1.68,0.4733703221262764,2.868761690749168
1.6825,0.4733703221262764,2.868761690749168
1.685,0.4737072319348692,2.868761690749168
1.6875,0.4737072319348692,2.868761690749168
1.69,0.4737072319348692,2.868761690749168
1.6925,0.4740441417434615,2.868761690749168
1.695,0.4740441417434615,2.868761690749168
1.6975,0.4740441417434615,2.868761690749168
1.7,0.4740441417434615,2.868761690749168
1.7025,0.4740441417434615,2.868761690749168
1.705,0.4743810515520539,2.868761690749168
1.7075,0.4743810515520539,2.868761690749168
1.71,0.4743810515520539,2.868761690749168
1.7125,0.4747179613606463,2.868761690749168
1.715,0.4747179613606463,2.868761690749168
1.7175,0.4747179613606463,2.868761690749168
1.72,0.4750548711692391,2.868761690749168
1.7225,0.4750548711692391,2.868761690749168
1.725,0.4750548711692391,2.868761690749168
